9.0051,
9.0254,
9.0482,
9.0756,
9.0916,
9.1133,
9.1362,
9.1591,
9.1801,
9.1916,
9.2040,
9.2141,
9.2242,
9.2406,
9.2513,
9.2632,
13.4124,
13.4353,
13.4617,
13.4765,
13.4886,
13.5045,
13.5159,
13.5276,
13.5387,
13.5532,
13.5655,
13.5762,
13.5872,
13.6067,
13.6192,
13.6306,
13.6417,
13.6534,
13.6643,
13.6746,
13.6910,
13.7027,
13.7158,
17.5889,
17.6004,
17.6136,
17.6315,
17.6430,
17.6572,
17.6710,
17.6838,
17.6964,
17.7128,
17.7248,
17.7367,
17.7477,
17.7596,
17.7726,
17.7864,
17.8025,
17.8148,
17.8268,
17.8376,
28.7944,
28.8073,
28.8182,
28.8305,
28.8431,
28.8545,
28.8669,
28.8785,
28.8964,
28.9098,
28.9212,
28.9318,
28.9433,
28.9545,
28.9706,
28.9821,
28.9926,
29.0067,
29.0281,
29.0498,
29.0723,
29.0941,
29.1153,
29.1445,
29.1605,
29.1823,
41.6988,
41.7207,
41.7427,
41.7659,
41.7875,
41.8148,
41.8366,
41.8550,
41.8780,
41.8997,
41.9229,
41.9438,
41.9716,
41.9896,
42.0107,
44.2258,
44.2423,
44.2551,
44.2693,
44.2865,
44.3024,
44.3163,
44.3314,
44.3460,
44.3638,
44.3783,
44.3907,
44.4034,
44.4145,
44.4265,

